opening_range,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
4,1,0.9,0.5,0,0,0,0,0,0.5,0.9,0.5,0.5,0.8,,1,1,0.9,0.5,0.5,0.5,0.5,0.5,0.8,0.7,0.3,0.5,0.8
3,1,0.9,0.5,0,0,0,0,0,0,0.25,0.25,0.8,0.8,,1,1,0.9,0,0,0,0,0,0,0.7,0.5,0.8,0.8
2,1,0.9,0,0,0,0,0,0,0,0,0,0,0.8,,1,1,0,0,0,0,0,0,0,0.1,0.3,0.4,0.8
BB_threebet_range,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,1,1,1,1,1,1,1,1,1,0.75,0.65,0.65,0.75
K,1,1,1,1,1,0.75,0.5,0.5,0.35,0.35,0.2,0.2,0.2,,1,1,1,1,1,1,1,0.85,0.8,0.8,0.6,0.6,0.6
Q,1,0.5,1,1,1,0.75,0.5,0.5,0.35,0.35,0.2,0,0,,1,0.8,1,1,1,1,1,0.85,0.8,0.6,0.6,0,0
J,0.5,0.3,0.4,1,1,0.75,0.5,0.5,0.35,0.2,0,0,0,,0.8,0.6,0.6,1,1,1,1,0.85,0.8,0.6,0,0,0
T,0.2,0.2,0.3,0.2,1,1,1,0.5,0.35,0.2,0,0,0,,0.5,0.5,0.4,0.5,1,1,1,0.85,0.8,0.6,0,0,0
9,0.2,0.2,0.2,0.2,0.2,1,1,0.75,0.5,0.2,0,0,0,,0.4,0.4,0.4,0.4,0.4,1,1,0.9,0.5,0.8,0,0,0
8,0.2,0.2,0.2,0.2,0.2,0.2,1,1,0.75,0.5,0.2,0,0,,0.2,0.2,0.2,0.2,0.2,0.2,1,1,0.75,0.5,0.6,0,0
7,0,0,0,0,0,0,0.1,0.5,1,0.75,0.5,0.2,0,,0,0,0,0,0,0,0.6,0.7,1,0.75,0.5,0.6,0
6,0,0,0,0,0,0,0,0,0.5,1,0.75,0.5,0,,0,0,0,0,0,0,0,0.1,0.7,1,0.75,0.5,0
5,0,0,0,0,0,0,0,0,0,0.5,1,0.75,0,,0,0,0,0,0,0,0,0,0.3,0.7,1,0.75,0
4,0,0,0,0,0,0,0,0,0,0.1,0.5,0.5,0.2,,0,0,0,0,0,0,0,0,0,0.3,0.7,0.5,0.2
3,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2
2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0.2
BB_foldrange,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0.3,0.4,0.45,0.55,0.65,0.2,0.1,0,0,0,0,,0,0,0,0.1,0.1,0.1,0.1,0.2,0,0,0,0,0
4,0,0.1,0.5,1,1,1,1,1,0.5,0,0,0,0,,0,0,0.1,0.5,0.5,0.5,0.5,0.5,0.2,0,0,0,0
3,0,0.1,0.5,1,1,1,1,1,1,0.75,0.75,0,0,,0,0,0.1,1,1,1,1,1,1,0.3,0.3,0,0
2,0,0.1,1,1,1,1,1,1,1,1,1,1,0,,0,0,1,1,1,1,1,1,1,0.9,0.7,0.6,0
BTN_call3bet_range,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0,0,0.5,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,0,0,0.5,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
K,0,0,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,,0,0,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
Q,0.85,0.9,0,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.5,0.5,,0.85,0.9,0,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7
J,0.88,0.95,0.95,0,0.96,0.95,0.95,0.95,0.95,0.95,0.5,0.5,0,,0.88,0.95,0.95,0,0.96,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0
T,0.88,0.95,0.95,0.95,0,0.96,0.95,0.95,0.95,0.95,0.5,0,0,,0.88,0.95,0.95,0.95,0,0.96,0.95,0.95,0.95,0.95,0.7,0,0
9,0.75,0.6,0.6,0.6,0.6,0.8,0.96,0.95,0.95,0.95,0.5,0,0,,0.85,0.95,0.95,0.95,0.95,0.8,0.96,0.95,0.95,0.95,0.7,0,0
8,0.75,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.95,0.95,0.8,0,0,,0.85,0.7,0.7,0.7,0.7,0.7,0.9,0.9,0.95,0.95,0.8,0,0
7,0.2,0,0,0,0,0,0.1,1,0.9,0.95,0.96,0.5,0,,0.35,0.1,0.1,0.1,0.1,0.1,0.4,1,0.9,0.95,0.96,0.7,0
6,0.2,0,0,0,0,0,0,0.1,1,0.9,0.96,0.5,0.5,,0.35,0,0,0,0,0,0.1,0.3,1,0.9,0.96,0.7,0.7
5,0.6,0,0,0,0,0,0,0,0,1,0.9,0.96,0.5,,0.6,0,0,0,0,0,0,0,0.2,1,0.9,0.96,0.7
4,0.6,0,0,0,0,0,0,0,0,0,1,0.96,0.5,,0.6,0,0,0,0,0,0,0,0,0.2,1,0.96,0.7
3,0.2,0,0,0,0,0,0,0,0,0,0,1,0.5,,0.2,0,0,0,0,0,0,0,0,0,0.2,1,0.7
2,0.2,0,0,0,0,0,0,0,0,0,0,0,1,,0.2,0,0,0,0,0,0,0,0,0,0,0,1
BTN_4bet_range,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,1,1,0.5,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,1,1,0.5,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
K,1,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,1,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Q,0.15,0.1,1,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,,0.15,0.1,1,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04
J,0.12,0.05,0.05,1,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,,0.12,0.05,0.05,1,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04
T,0.12,0.05,0.05,0.05,1,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,,0.12,0.05,0.05,0.05,1,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04
9,0.1,0.05,0.05,0.05,0.05,0.2,0.04,0.05,0.05,0.05,0.05,0.04,0.04,,0.1,0.05,0.05,0.05,0.05,0.2,0.04,0.05,0.05,0.05,0.05,0.04,0.04
8,0.1,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.05,0.05,0.05,0.04,0.04,,0.1,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.05,0.05,0.05,0.04,0.04
7,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0,0.1,0.05,0.05,0.04,0.04,,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0,0.1,0.05,0.05,0.04,0.04
6,0.1,0.04,0.04,0,0,0,0,0.05,0,0.1,0.05,0.04,0.04,,0.1,0.04,0.04,0,0,0,0,0.05,0,0.1,0.05,0.04,0.04
5,0.2,0,0,0,0,0,0,0.05,0.05,0,0.1,0.04,0.04,,0.2,0,0,0,0,0,0,0.05,0.05,0,0.1,0.04,0.04
4,0.2,0,0,0,0,0,0,0,0.05,0.05,0,0.1,0.04,,0.2,0,0,0,0,0,0,0,0.05,0.05,0,0.04,0.04
3,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1
2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,0,0,0,0,0,0,0,0,0,0,0,0
BTN_fold3bet_range,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,0.46,0.46,,0,0,0,0,0,0,0,0,0,0,0,0.26,0.26
J,0,0,0,0,0,0,0,0,0,0,0.45,0.46,0.96,,0,0,0,0,0,0,0,0,0,0,0.25,0.26,0.96
T,0,0,0,0,0,0,0,0,0,0,0.45,0.96,0.96,,0,0,0,0,0,0,0,0,0,0,0.25,0.96,0.96
9,0.15,0.35,0.35,0.35,0.35,0,0,0,0,0,0.45,0.96,0.96,,0.05,0,0,0,0,0,0,0,0,0,0.25,0.96,0.96
8,0.15,0.85,0.85,0.85,0.85,0.85,0,0,0,0,0.15,0.96,0.96,,0.05,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.15,0.96,0.96
7,0.7,0.95,0.95,0.95,0.95,0.95,0.85,0,0,0,-0.01,0.46,0.96,,0.55,0.85,0.85,0.85,0.85,0.85,0.55,0,0,0,-0.01,0.26,0.96
6,0.7,0.96,0.96,1,1,1,1,0.85,0,0,-0.01,0.46,0.46,,0.55,0.96,0.96,1,1,1,0.9,0.65,0,0,-0.01,0.26,0.26
5,0.2,1,1,1,1,1,1,0.95,0.95,0,0,0,0.46,,0.2,1,1,1,1,1,1,0.95,0.75,0,0,0,0.26
4,0.2,1,1,1,1,1,1,1,0.95,0.95,0,-0.06,0.46,,0.2,1,1,1,1,1,1,1,0.95,0.75,0,0,0.26
3,0.6,1,1,1,1,1,1,1,1,1,1,0,0.4,,0.6,1,1,1,1,1,1,1,1,1,0.8,0,0.2
2,0.6,1,1,1,1,1,1,1,1,1,1,1,0,,0.6,1,1,1,1,1,1,1,1,1,1,1,0
BB_call4bet_range,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0.35,0,1,1,1,1,0.5,0.25,0.25,1,1,0.5,0.5,,0.35,0,1,1,1,1,0.8,0.8,0.7,1,1,0.5,0.5
K,0,0,1,1,1,1,0.75,0.5,0,0,0,0,0,,0,0,1,1,1,1,0.9,0.5,0.4,0.3,0.2,0.2,0.2
Q,1,0.5,0,1,1,1,0.75,0,0,0,0,0,0,,0.95,0.8,0,1,1,1,0.9,0.4,0.3,0.2,0.1,0,0
J,0.5,0.1,0.1,0,1,1,0.75,0,0,0,0,0,0,,0.5,0.5,0.5,0,1,1,0.9,0.3,0.2,0.1,0,0,0
T,0.1,0,0,0,0.5,1,0.75,0,0,0,0,0,0,,0.1,0.3,0.3,0.3,0.5,1,0.9,0.2,0,0,0,0,0
9,0,0,0,0,0,0.8,1,0,0,0,0,0,0,,0,0,0,0,0.1,0.8,1,0.2,0,0,0,0,0
8,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0.1,1,1,0,0,0,0,0
7,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0
6,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0
5,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0
3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,,0,0,0,0,0,0,0,0,0,0,0,0.4,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0.3
BB_5bet_range,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0.65,1,0,0,0,0,0.2,0.2,0,0,0,0.1,0.1,,0.65,1,0,0,0,0,0.2,0.2,0,0,0,0.1,0.1
K,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0
Q,0,0.05,1,0,0,0,0,0,0,0,0,0,0,,0.05,0.05,1,0,0,0,0,0,0,0,0,0,0
J,0.1,0,0,1,0,0,0,0,0,0,0,0,0,,0.1,0,0,1,0,0,0,0,0,0,0,0,0
T,0.05,0,0,0,0.5,0,0,0,0,0,0,0,0,,0.05,0,0,0,0.5,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0.2,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
BB_fold4bet_range,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0,0,0,0,0,0,0.3,0.55,0.75,0,0,0.4,0.4,,0,0,0,0,0,0,0,0,0.3,0,0,0.4,0.4
K,0,0,0,0,0,0,0.25,0.5,1,1,1,1,1,,0,0,0,0,0,0,0.1,0.5,0.6,0.7,0.8,0.8,0.8
Q,0,0.45,0,0,0,0,0.25,1,1,1,1,1,1,,0,0.15,0,0,0,0,0.1,0.6,0.7,0.8,0.9,1,1
J,0.4,0.9,0.9,0,0,0,0.25,1,1,1,1,1,1,,0.4,0.5,0.5,0,0,0,0.1,0.7,0.8,0.9,1,1,1
T,0.85,1,1,1,0,0,0.25,1,1,1,1,1,1,,0.85,0.7,0.7,0.7,0,0,0.1,0.8,1,1,1,1,1
9,1,1,1,1,1,0,0,1,1,1,1,1,1,,1,1,1,1,0.9,0,0,0.8,1,1,1,1,1
8,1,1,1,1,1,1,0,0,1,1,1,1,1,,1,1,1,1,1,0.9,0,0,1,1,1,1,1
7,1,1,1,1,1,1,1,0,0,1,1,1,1,,1,1,1,1,1,1,1,0,0,1,1,1,1
6,1,1,1,1,1,1,1,1,0,0,1,1,1,,1,1,1,1,1,1,1,1,0,0,1,1,1
5,1,1,1,1,1,1,1,1,1,0,0,1,1,,1,1,1,1,1,1,1,1,1,0,0,1,1
4,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,,1,1,1,1,1,1,1,1,1,1,0.3,0.3,1
3,1,1,1,1,1,1,1,1,1,1,1,0.8,1,,1,1,1,1,1,1,1,1,1,1,1,0.6,1
2,1,1,1,1,1,1,1,1,1,1,1,1,0.8,,1,1,1,1,1,1,1,1,1,1,1,1,0.7
